id;link;author;description;source;favorite_count;retweet_count;lang;tweet_type;user_statuses_count;user_friends_count;user_followers_count;boost_value
19;https://twitter.com/graciannalina/statuses/1577551624880676864;graciannalina;disuruh download aplikasi jaklingko ya bolehlah masih berguna lah akun fello buat apa saya daftarin informasi saya di aplikasi yg tidak saya gunakan no thanks ambil aja  saya eh  ribuan pengguna tj yg kalian rugikan ;Twitter for Android;0;0;in;reply;13199;381;281;0
20;https://twitter.com/garangasemanis/statuses/1577548441471062016;garangasemanis;mesti pake jaklingko klo ada kartubiyubatau bni tap cash free ;Twitter for Android;0;0;in;reply;895;123;28;0
21;https://twitter.com/Randomt61609964/statuses/1577547428139761664;Randomt61609964;sudah miminnnn ngerti ngga sih sudah saya wa duanya tp ribet bgt mesti download app jaklingko lah download app fello lah mesti dibinding dulu ribet bgt loh ga bisa diganti secara manual aja gtu di halte dgn nunjukin bukti transaksi mana wa nya jg slow respon ;Twitter for Android;1;0;in;reply;13543;1678;187;0,534759358
22;https://twitter.com/Randomt61609964/statuses/1577545505063993344;Randomt61609964;admin ini prosedur pengembalian dananya ngga bisa lebib simple lg apa ribet bgt loh mesti download app jaklingko download app tambahan lg lah si fellilo itu trs trnyata mesti hrs diaktifin pula di bct nyagmn si kalian yg salah bikin ribet kok jd konsumen yg ribet ;Twitter for Android;0;0;in;reply;13543;1678;187;0
23;https://twitter.com/randhilicious/statuses/1577544677267771394;randhilicious;di app jaklingko kemarin ada broadcast kalo mulai kemarin ada penerapan tarif integrasi jaklingko khusus utk metode pakai kartu mudah dan hemat ;Twitter for Android;0;0;in;reply;11224;369;762;0
24;https://twitter.com/edwin_basuki/statuses/1577542701226274816;edwin_basuki;jaklingko isinya kan subkon siapa yg mau koordinir urusan kyk gini ;Twitter for Android;0;0;in;reply;85075;982;633;0
25;https://twitter.com/wissnu0212/statuses/1577542548973047809;wissnu0212;ujungnya semua harus pake kartu jaklingkocuaannncuannnn ;Twitter for Android;0;0;in;reply;637;96;55;0
26;https://twitter.com/LeonardEricLie/statuses/1577542208076812289;LeonardEricLie;mau cc tim hore jaklingko di twiter udh males duluan liat akunnya ;Twitter for Android;0;1;in;retweet;77507;53;324;0,308641975
27;https://twitter.com/randhilicious/statuses/1577541506914975744;randhilicious;coba aja langsung mas instal beli tiketnya cobain deh kalo seblmnya pakai qr tiket di app jaklingko udah bbrp kali pakai so far lancar itu kalo ngerti cara pakainya alias ga gaptek aja tapi kalo skrg ternyata udah bisa pakai kartu sesuai broadcast dari app jaklingko ;Twitter for Android;0;0;in;reply;11224;369;762;0
28;https://twitter.com/MadaPirmada/statuses/1577541375457136640;MadaPirmada;bener bgt uda gt saya mau reset di halte saya turun ternyata kartu flazz bca lama tidak bisa td untung punya jaklingko bikin peraturan baru tp tidak siap semua alur nya zzz ;Twitter for Android;0;1;in;retweet;6570;816;193;0,518134715
29;https://twitter.com/bandarbaru_1/statuses/1577540244567564288;bandarbaru_1;bayangkan jaklingko ga punya akun resmi twitter humasnya jaklingko juga tidak ada statementnya di sosmed ;TweetDeck;0;5;in;retweet;704;46;1;500
30;https://twitter.com/BisKota_/statuses/1577540031308529665;BisKota_;bayangkan jaklingko ga punya akun resmi twitter humasnya jaklingko juga tidak ada statementnya di sosmed ;Twitter for Android;13;5;in;reply;157045;774;23849;0,075474863
31;https://twitter.com/HaloSdrFikri/statuses/1577539937939120128;HaloSdrFikri;untuk kendala yang kakak alami kami sarankan mengunduh aplikasi jaklingko dan melakukan pairing kartu pada aplikasi jaklingko untuk proses refund setelah itu kakak harus melakukan binding menghubungkan jaklingko apps dengan fello dan proses dilakukan pada akun fello pengguna ;Twitter for iPhone;3;0;in;reply;31049;562;962;0,311850312
